id,word,full_def,short_def,example_sentence,hint_level
0,a,,"= ""Ar, Are""",,1
0,A,,"= ""Ampere"" A",,1
0,à,,"mit Nom., Akk.",,1
0,ä,,"a umlauts. auch a, A",,1
0,Aa,,poo,,1
0,AA,,"= ""Auswärtiges Amt""",,1
0,Aachen,,Aix-la-Chapelle,,1
0,Aal,,eel,,1
0, ,,nickname,,1
0,aalglatt,,smoothly,,1
0,Aalkasten,,eel trap,,1
0,Aalsuppe,,eel soup,,1
0,a. a. O.,,"= ""am angegebenen Ort"" loc. cit.",,1
0,Aar,,eagle,,1
0,Aas,,swine,,1
0,Aasfliege,,blowfly   flesh fly,,1
0,Aasfresser,,carrion-eater,,1
0,Aasgeier,,vulture,,1
0,Aaskäfer,,carrion beetle,,1
0,Aasseite,,flesh side,,1
0,ab,,ab und zu od.  an  | now and then,,1
0,Abänderungsantrag,,s. auch Änderungsantrag,,1
0,Abänderungsklage,,application for a variation,,1
0,Abandon,,abandonment,,1
0,abandonnieren,,abandon,,1
0,Abb.,,"= ""Abbildung"" Fig.",,1
0,Abblendlicht,,dipped  or   dimmed beam,,1
0,Abblendschalter,,dip switch,,1
0,Abbreviatur,,abbreviation,,1
0,Abbrucharbeit,,demolition work,,1
0,Abbruchfirma,,demolition firm,,1
0,Abbruchhaus,,condemned house,,1
0,abbruchreif,,ripe for demolition postpos.,,1
0,Abbruchsieg,,win when the fight was stopped,,1
0,Abbruchunternehmen,,demolition firm,,1
0,Abc,,ABC,,1
0,Abc-Buch,,s. auch Fibel,,1
0,Abc-Schütze,,child just starting school,,1
0,ABC-Waffen,,NBC weapons,,1
0,Abdampfheizung,,exhaust-steam heating,,1
0,Abdampfrück·stand,,residue from evaporation,,1
0,Abdampfturbine,,exhaust-steam turbine,,1
0,Abdecker,,knacker's yard   skinnery,,1
0,Abdeckplane,,canvas,,1
0,Abdeckplatte,,coping stone,,1
0,abend,,s. auch Abend,,1
0,Abend,,evening,,1
0,Abendabitur,,‘Abitur’ through evening classes,,1
0,Abendakademie,,evening school,,1
0,Abendandacht,,evening service,,1
0,Abendan·zug,,dinner dress,,1
0,Abendaus·gabe,,evening edition,,1
0,Abendblatt,,evening paper,,1
0,Abendbrot,,evening meal,,1
0,Abenddämmerung,,twilight,,1
0,Abendessen,,dinner,,1
0,abendfüllend,,"occupying a whole evening postpos., not pred.",,1
0,Abendgage,,evening's fee,,1
0,Abendgebet,,evening prayers pl.   bedtime prayers pl.,,1
0,Abendgottes·dienst,,evening service   evening mass,,1
0,Abendgymnasium,,"night school, evening classes pl.",,1
0,Abendhimmel,,sunset sky,,1
0,Abendkarte,,evening menu,,1
0,Abendkasse,,box office,,1
0,Abendkleid,,evening dress or gown,,1
0,Abendkurs,,evening class or course,,1
0,Abendmahlsgottes·dienst,,Communion service,,1
0,Abendmahlskelch,,Communion cup,,1
0,Abendmahlswein,,Communion wine,,1
0,Abendmahl·zeit,,dinner,,1
0,Abendmesse,,evening mass,,1
0,Abendnachrichten,,evening news sing.,,1
0,Abendprogramm,,evening programmes pl.,,1
0,Abendröte,,s. auch Abendrot,,1
0,Abendschule,,night school,,1
0,Abendschüler,,student at evening classes,,1
0,Abendsonne,,evening sun,,1
0,Abendstern,,evening star,,1
0,Abendstille,,evening stillness,,1
0,Abendstudium,,course of evening classes leading to a degree or diploma,,1
0,Abendstunde,,evening hour,,1
0,Abendtoilette,,evening dress,,1
0,Abendvorstellung,,evening performance,,1
0,Abendwind,,evening breeze,,1
0,Abendzeitung,,s. auch Abendblatt,,1
0,Abendzug,,evening train,,1
0,Abenteuer,,affair,,1
0,Abenteuerbuch,,adventure book,,1
0,Abenteuergeschichte,,adventure story,,1
0,Abenteuerlust,,thirst for adventure,,1
0,abenteuerlustig,,adventurous,,1
0,Abenteuerroman,,adventure novel,,1
0,Abenteuerspielplatz,,adventure playground,,1
0,Abenteuerurlaub,,adventure holiday,,1
0,Abenteurer,,adventurer,,1
0,Abenteurerleben,,adventurer's life,,1
0,Abenteurernatur,,adventurous person,,1
0,aber,,but,,1
0,abermals,,once again,,1
0,Aberration,,aberration,,1
0,Abessinien,,nudist beach,,1
0,Abess,,Abyssinian,,1
0,Abf.,,"= ""Abfahrt"" dep.",,1
0,Abfahrtslauf,,downhill,,1
0,Abfahrtsläufer,,downhill racer,,1
0,Abfahrtsrennen,,downhill,,1
0,Abfallbeseitigung,,refuse disposal   waste disposal,,1
0,Abfalleimer,,rubbish or waste bin,,1
0,Abfallprodukt,,by-product   secondary product,,1
0,Abfallverwertung,,recycling of waste,,1
0,Abflughafen,,airport of departure,,1
0,Abflugzeit,,departure time,,1
0,Abflussgraben,,drainage ditch,,1
0,Abflussrohr,,outlet pipe,,1
0,Abführmittel,,laxative,,1
0,Abführpille,,laxative pill,,1
0,Abfüllan·lage,,bottling/canning plant,,1
0,Abfülldatum,,bottling/canning date,,1
0,Abgabezug,,sealed move,,1
0,Abgasentgiftung,,emission control,,1
0,abgasfrei,,exhaust-free,,1
